"tracker_index","tracker_id","expected_contiguous_id","tracker_name","source_index_by_name","source_name","source_path","name_match","order_match","id_match","tracker_hash","migration_sha1_checkout_bytes","migration_sha1_git_blob_bytes","stored_hash_matches_checkout_bytes","stored_hash_matches_git_blob_bytes","hash_classification","git_blob_oid","size_checkout_bytes","sha256_checkout_bytes","applied_at"
"33","664","664","20260523041131_world","33","20260523041131_world","sql/database_updates/world/20260523041131_world.sql","True","True","True","manual","71D84BC5585BDEDE4965CC16F21AF17A264DAAD8","E8B2FB27A7ED9ABD53B4A1CBA89F233A4E65CDB7","False","False","manual_marker_not_file_hash","6e954871b009020306d55613b7f6f025a55bdb38","15980","04F6414D258630677DF316B3BF7C48F2C1474B5BAD4EA7CBBE9C54223722EE12","2026-08-25 18:55:56"
"34","665","665","20260526123433_world","34","20260526123433_world","sql/database_updates/world/20260526123433_world.sql","True","True","True","manual","AB07562741F246755A5E87154FA68DA4C924614E","48CAD01F1D6DBB088F3351DCA71EB6A1415ABC94","False","False","manual_marker_not_file_hash","682035b332bebcb011a3d6fdf6538a4d5d48f893","69964","3F5C0493196BCF58D84F339996E468A8149FCF41890ECE0A6855A53CFB352E38","2026-08-25 18:55:57"
"35","666","666","20260526134500_world","35","20260526134500_world","sql/database_updates/world/20260526134500_world.sql","True","True","True","manual","DFA13B61932C8E5FE3AECBE6DDBA6C93F622281F","2A6E7F4220604F050737E9929190AA2163681F42","False","False","manual_marker_not_file_hash","615125bbc6e9fdef8a7024fb062605f79ca02768","3554","4BEB936A8C68FDD6F7BF3398EA23FAF6F35DF7307A7458CB56234B1E46DAC81C","2026-08-25 18:55:57"
"36","667","667","20260527120000_world","36","20260527120000_world","sql/database_updates/world/20260527120000_world.sql","True","True","True","manual","897DCE72090E584BC3510B959AB958A21B2C8849","40A5660CC5689AD933BC66D04C629491580C0692","False","False","manual_marker_not_file_hash","d274a3141a58e5eaae10f9e74726bf9831319009","5315","864CE49C772895C2DE27AF6CFE9B44F799FD4A2A21521B7FE3EDF99BC0F7D5C7","2026-08-25 18:55:57"
"37","668","668","20260528150633_world","37","20260528150633_world","sql/database_updates/world/20260528150633_world.sql","True","True","True","manual","B28C290DDD789862DB29E08B8E153224DBF271AE","4FB9DFD7B244A3AA3982B7C01FD6B2E2BC3516E3","False","False","manual_marker_not_file_hash","b48de03dc1ad2a9c5476279755d8b6ab2a9fd0fd","435033","E70D5045CD65DA6CE4A1785A60716A82DC62D65608774CC626036710C236FBC8","2026-08-25 18:55:58"
"38","669","669","20260529182210_world","38","20260529182210_world","sql/database_updates/world/20260529182210_world.sql","True","True","True","manual","F792E8A69507999E96B64E7A10319B0BB01858DB","F792E8A69507999E96B64E7A10319B0BB01858DB","False","False","manual_marker_not_file_hash","5ef16c65e2ec38e3a367d5e02f6dbd86aa3730fd","143659","614841A382C412EFA68A1CAA1CA52D2CD9A57D7BB7525E6213B3732FF898B5A2","2026-08-25 18:55:58"
"39","670","670","20260530203924_world","39","20260530203924_world","sql/database_updates/world/20260530203924_world.sql","True","True","True","manual","1853AFBCFF0E1277F30E3730A4BA55CF59A299A2","E26855EBF4AE39D2F24F079BD1812E3185CC0D41","False","False","manual_marker_not_file_hash","ccdd9a7d90381a401dfa4b793a5ec7c13b40ac6a","278700","344390F42D6F4729AE27FB8A32004D09DEF82CC89858AC67764169F6CD4403D0","2026-08-25 18:55:58"
"40","671","671","20260602180159_world","40","20260602180159_world","sql/database_updates/world/20260602180159_world.sql","True","True","True","manual","84119DB44EE93221A4D39A118903B9F41475EAC7","84119DB44EE93221A4D39A118903B9F41475EAC7","False","False","manual_marker_not_file_hash","b045e79d755b70fdf0e1d067889fb8bf638af922","123225","CF643487F12F3DF3BA8CC31D694DFA84B85B079D47063C45B2812F1879B641C0","2026-08-25 18:55:58"
"41","672","672","20260603094447_world","41","20260603094447_world","sql/database_updates/world/20260603094447_world.sql","True","True","True","manual","4EAB62674581B3C22C3CE5ECCC79971A2F77C071","4EAB62674581B3C22C3CE5ECCC79971A2F77C071","False","False","manual_marker_not_file_hash","8879b13057cc3c2b73af430b80ca39d0b60b375d","245555","29299BCF8B4D35103E1339D7C0B73D138C0C45F68D155652DC2A76DB21790BF1","2026-08-25 18:55:59"
"42","673","673","20260604214927_world","42","20260604214927_world","sql/database_updates/world/20260604214927_world.sql","True","True","True","manual","752402B242F198158900D6500EC149CC54B170CD","CB988796B8F4893B111B77A266F7BC7FA8BD4CB2","False","False","manual_marker_not_file_hash","340663099030d0fd9ca072a3a872cd16fb05e951","25242","E87EB40A092A5088DBFF7C2C198AB418028A91BC5C391A3759D7660E143905B3","2026-08-25 18:55:59"
